feature,dtype,feature_group,used_in
Type,object,baseline_feature,proposed_rgc_models
Sales per customer,float64,baseline_feature,proposed_rgc_models
Category Name,object,baseline_feature,proposed_rgc_models
Customer City,object,baseline_feature,proposed_rgc_models
Customer Country,object,baseline_feature,proposed_rgc_models
Customer Segment,object,baseline_feature,proposed_rgc_models
Customer State,object,baseline_feature,proposed_rgc_models
Department Name,object,baseline_feature,proposed_rgc_models
Market,object,baseline_feature,proposed_rgc_models
Order City,object,baseline_feature,proposed_rgc_models
Order Country,object,baseline_feature,proposed_rgc_models
Order Item Discount,float64,baseline_feature,proposed_rgc_models
Order Item Discount Rate,float64,baseline_feature,proposed_rgc_models
Order Item Product Price,float64,baseline_feature,proposed_rgc_models
Order Item Quantity,int64,baseline_feature,proposed_rgc_models
Sales,float64,baseline_feature,proposed_rgc_models
Order Item Total,float64,baseline_feature,proposed_rgc_models
Order Region,object,baseline_feature,proposed_rgc_models
Order State,object,baseline_feature,proposed_rgc_models
Product Name,object,baseline_feature,proposed_rgc_models
Product Price,float64,baseline_feature,proposed_rgc_models
Product Status,int64,baseline_feature,proposed_rgc_models
Shipping Mode,object,baseline_feature,proposed_rgc_models
order_year,int64,baseline_feature,proposed_rgc_models
order_month,int64,baseline_feature,proposed_rgc_models
order_week,int64,baseline_feature,proposed_rgc_models
order_day,int64,baseline_feature,proposed_rgc_models
order_dayofweek,int64,baseline_feature,proposed_rgc_models
order_quarter,int64,baseline_feature,proposed_rgc_models
sales_per_unit,float64,baseline_feature,proposed_rgc_models
qty_lag_1,float64,baseline_feature,proposed_rgc_models
qty_lag_3,float64,baseline_feature,proposed_rgc_models
qty_lag_7,float64,baseline_feature,proposed_rgc_models
qty_roll_mean_3,float64,baseline_feature,proposed_rgc_models
qty_roll_mean_7,float64,baseline_feature,proposed_rgc_models
qty_roll_std_7,float64,baseline_feature,proposed_rgc_models
delay_lag_1,float64,baseline_feature,proposed_rgc_models
delay_roll_mean_7,float64,baseline_feature,proposed_rgc_models
delay_roll_std_7,float64,baseline_feature,proposed_rgc_models
profit_lag_1,float64,baseline_feature,proposed_rgc_models
profit_roll_mean_7,float64,baseline_feature,proposed_rgc_models
profit_roll_std_7,float64,baseline_feature,proposed_rgc_models
rgc_safe_graph_product_avg_risk_score,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_product_degree_centrality,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_product_pagerank,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_product_weighted_degree,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_product_graph_risk_centrality,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_product_node_risk_pressure,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_category_avg_risk_score,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_category_degree_centrality,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_category_pagerank,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_category_weighted_degree,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_category_graph_risk_centrality,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_category_node_risk_pressure,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_region_avg_risk_score,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_region_degree_centrality,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_region_pagerank,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_region_weighted_degree,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_region_graph_risk_centrality,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_region_node_risk_pressure,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_market_avg_risk_score,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_market_degree_centrality,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_market_pagerank,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_market_weighted_degree,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_market_graph_risk_centrality,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_market_node_risk_pressure,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_shipping_avg_risk_score,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_shipping_degree_centrality,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_shipping_pagerank,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_shipping_weighted_degree,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_shipping_graph_risk_centrality,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_shipping_node_risk_pressure,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_buyer_agent_avg_risk_score,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_buyer_agent_degree_centrality,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_buyer_agent_pagerank,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_buyer_agent_weighted_degree,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_buyer_agent_graph_risk_centrality,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_buyer_agent_node_risk_pressure,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_supplier_proxy_avg_risk_score,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_supplier_proxy_degree_centrality,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_supplier_proxy_pagerank,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_supplier_proxy_weighted_degree,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_supplier_proxy_graph_risk_centrality,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_graph_supplier_proxy_node_risk_pressure,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_sthg_risknet_mean_node_risk,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_sthg_risknet_mean_pagerank,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_sthg_risknet_mean_risk_centrality,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_sthg_risknet_mean_risk_pressure,float64,rgc_graph_feature,proposed_rgc_models
rgc_safe_sthg_risknet_graph_risk_signal,float64,rgc_graph_feature,proposed_rgc_models
rgc_interaction_signal_x_order_item_discount_rate,float64,rgc_graph_feature,proposed_rgc_models
rgc_interaction_signal_x_order_item_quantity,float64,rgc_graph_feature,proposed_rgc_models
rgc_interaction_signal_x_sales,float64,rgc_graph_feature,proposed_rgc_models
rgc_interaction_signal_x_order_item_total,float64,rgc_graph_feature,proposed_rgc_models
rgc_interaction_signal_x_product_price,float64,rgc_graph_feature,proposed_rgc_models
rgc_interaction_signal_x_sales_per_unit,float64,rgc_graph_feature,proposed_rgc_models
rgc_interaction_signal_x_qty_roll_std_7,float64,rgc_graph_feature,proposed_rgc_models
rgc_interaction_signal_x_qty_roll_mean_7,float64,rgc_graph_feature,proposed_rgc_models
rgc_interaction_signal_x_profit_roll_std_7,float64,rgc_graph_feature,proposed_rgc_models
rgc_resilience_gap_signal,float64,rgc_graph_feature,proposed_rgc_models
rgc_centrality_pressure_signal,float64,rgc_graph_feature,proposed_rgc_models
rgc_graph_risk_rank,float64,rgc_graph_feature,proposed_rgc_models
